Regiao,Ano,Quantidade,Tipo_Crime
Arniqueira,2015,0,Furto em Veículo
Arniqueira,2015,0,Homicídio
Arniqueira,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2015,0,Latrocínio
Arniqueira,2015,0,Roubo a Transeunte
Arniqueira,2015,0,Roubo de Veículo
Arniqueira,2015,0,Roubo em Comércio
Arniqueira,2015,0,Roubo em Transporte Coletivo
Arniqueira,2016,0,Furto em Veículo
Arniqueira,2016,0,Homicídio
Arniqueira,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2016,0,Latrocínio
Arniqueira,2016,0,Roubo a Transeunte
Arniqueira,2016,0,Roubo de Veículo
Arniqueira,2016,0,Roubo em Comércio
Arniqueira,2016,0,Roubo em Transporte Coletivo
Arniqueira,2017,0,Furto em Veículo
Arniqueira,2017,0,Homicídio
Arniqueira,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2017,0,Latrocínio
Arniqueira,2017,0,Roubo a Transeunte
Arniqueira,2017,0,Roubo de Veículo
Arniqueira,2017,0,Roubo em Comércio
Arniqueira,2017,0,Roubo em Transporte Coletivo
Arniqueira,2018,0,Furto em Veículo
Arniqueira,2018,0,Homicídio
Arniqueira,2018,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2018,0,Latrocínio
Arniqueira,2018,0,Roubo a Transeunte
Arniqueira,2018,0,Roubo de Veículo
Arniqueira,2018,0,Roubo em Comércio
Arniqueira,2018,0,Roubo em Transporte Coletivo
Arniqueira,2019,0,Furto em Veículo
Arniqueira,2019,0,Homicídio
Arniqueira,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2019,0,Latrocínio
Arniqueira,2019,0,Roubo a Transeunte
Arniqueira,2019,0,Roubo de Veículo
Arniqueira,2019,0,Roubo em Comércio
Arniqueira,2019,0,Roubo em Transporte Coletivo
Arniqueira,2020,54,Furto em Veículo
Arniqueira,2020,6,Homicídio
Arniqueira,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2020,1,Latrocínio
Arniqueira,2020,185,Roubo a Transeunte
Arniqueira,2020,30,Roubo de Veículo
Arniqueira,2020,13,Roubo em Comércio
Arniqueira,2020,1,Roubo em Transporte Coletivo
Arniqueira,2021,46,Furto em Veículo
Arniqueira,2021,4,Homicídio
Arniqueira,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2021,0,Latrocínio
Arniqueira,2021,114,Roubo a Transeunte
Arniqueira,2021,19,Roubo de Veículo
Arniqueira,2021,8,Roubo em Comércio
Arniqueira,2021,2,Roubo em Transporte Coletivo
Arniqueira,2022,62,Furto em Veículo
Arniqueira,2022,4,Homicídio
Arniqueira,2022,1,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2022,1,Latrocínio
Arniqueira,2022,120,Roubo a Transeunte
Arniqueira,2022,20,Roubo de Veículo
Arniqueira,2022,3,Roubo em Comércio
Arniqueira,2022,2,Roubo em Transporte Coletivo
Arniqueira,2023,72,Furto em Veículo
Arniqueira,2023,4,Homicídio
Arniqueira,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2023,1,Latrocínio
Arniqueira,2023,84,Roubo a Transeunte
Arniqueira,2023,12,Roubo de Veículo
Arniqueira,2023,3,Roubo em Comércio
Arniqueira,2023,1,Roubo em Transporte Coletivo
Arniqueira,2024,30,Furto em Veículo
Arniqueira,2024,0,Homicídio
Arniqueira,2024,0,LCSM (Lesão Corporal Seguida de Morte)
Arniqueira,2024,0,Latrocínio
Arniqueira,2024,44,Roubo a Transeunte
Arniqueira,2024,6,Roubo de Veículo
Arniqueira,2024,4,Roubo em Comércio
Arniqueira,2024,1,Roubo em Transporte Coletivo
Plano Piloto,2015,3297,Furto em Veículo
Plano Piloto,2015,2417,Roubo a Transeunte
Plano Piloto,2015,303,Roubo de Veículo
Plano Piloto,2015,136,Roubo em Comércio
Plano Piloto,2015,57,Roubo em Transporte Coletivo
Plano Piloto,2016,4506,Furto em Veículo
Plano Piloto,2016,3490,Roubo a Transeunte
Plano Piloto,2016,294,Roubo de Veículo
Plano Piloto,2016,111,Roubo em Comércio
Plano Piloto,2016,69,Roubo em Transporte Coletivo
Plano Piloto,2017,4883,Furto em Veículo
Plano Piloto,2017,3119,Roubo a Transeunte
Plano Piloto,2017,351,Roubo de Veículo
Plano Piloto,2017,98,Roubo em Comércio
Plano Piloto,2017,59,Roubo em Transporte Coletivo
Plano Piloto,2018,3771,Furto em Veículo
Plano Piloto,2018,3169,Roubo a Transeunte
Plano Piloto,2018,262,Roubo de Veículo
Plano Piloto,2018,70,Roubo em Comércio
Plano Piloto,2018,89,Roubo em Transporte Coletivo
Plano Piloto,2019,2777,Furto em Veículo
Plano Piloto,2019,2975,Roubo a Transeunte
Plano Piloto,2019,134,Roubo de Veículo
Plano Piloto,2019,71,Roubo em Comércio
Plano Piloto,2019,31,Roubo em Transporte Coletivo
Plano Piloto,2020,1718,Furto em Veículo
Plano Piloto,2020,1674,Roubo a Transeunte
Plano Piloto,2020,78,Roubo de Veículo
Plano Piloto,2020,38,Roubo em Comércio
Plano Piloto,2020,42,Roubo em Transporte Coletivo
Plano Piloto,2021,1996,Furto em Veículo
Plano Piloto,2021,1441,Roubo a Transeunte
Plano Piloto,2021,56,Roubo de Veículo
Plano Piloto,2021,36,Roubo em Comércio
Plano Piloto,2021,20,Roubo em Transporte Coletivo
Plano Piloto,2022,3068,Furto em Veículo
Plano Piloto,2022,1722,Roubo a Transeunte
Plano Piloto,2022,45,Roubo de Veículo
Plano Piloto,2022,34,Roubo em Comércio
Plano Piloto,2022,24,Roubo em Transporte Coletivo
Plano Piloto,2023,2750,Furto em Veículo
Plano Piloto,2023,1454,Roubo a Transeunte
Plano Piloto,2023,45,Roubo de Veículo
Plano Piloto,2023,43,Roubo em Comércio
Plano Piloto,2023,18,Roubo em Transporte Coletivo
Plano Piloto,2024,2572,Furto em Veículo
Plano Piloto,2024,991,Roubo a Transeunte
Plano Piloto,2024,32,Roubo de Veículo
Plano Piloto,2024,32,Roubo em Comércio
Plano Piloto,2024,17,Roubo em Transporte Coletivo
Brazlândia,2015,96,Furto em Veículo
Brazlândia,2015,21,Homicídio
Brazlândia,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2015,0,Latrocínio
Brazlândia,2015,369,Roubo a Transeunte
Brazlândia,2015,85,Roubo de Veículo
Brazlândia,2015,57,Roubo em Comércio
Brazlândia,2015,15,Roubo em Transporte Coletivo
Brazlândia,2016,101,Furto em Veículo
Brazlândia,2016,19,Homicídio
Brazlândia,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2016,1,Latrocínio
Brazlândia,2016,460,Roubo a Transeunte
Brazlândia,2016,71,Roubo de Veículo
Brazlândia,2016,36,Roubo em Comércio
Brazlândia,2016,6,Roubo em Transporte Coletivo
Brazlândia,2017,114,Furto em Veículo
Brazlândia,2017,11,Homicídio
Brazlândia,2017,1,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2017,3,Latrocínio
Brazlândia,2017,489,Roubo a Transeunte
Brazlândia,2017,81,Roubo de Veículo
Brazlândia,2017,49,Roubo em Comércio
Brazlândia,2017,23,Roubo em Transporte Coletivo
Brazlândia,2018,101,Furto em Veículo
Brazlândia,2018,21,Homicídio
Brazlândia,2018,2,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2018,1,Latrocínio
Brazlândia,2018,332,Roubo a Transeunte
Brazlândia,2018,74,Roubo de Veículo
Brazlândia,2018,26,Roubo em Comércio
Brazlândia,2018,7,Roubo em Transporte Coletivo
Brazlândia,2019,90,Furto em Veículo
Brazlândia,2019,2,Homicídio
Brazlândia,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2019,1,Latrocínio
Brazlândia,2019,271,Roubo a Transeunte
Brazlândia,2019,55,Roubo de Veículo
Brazlândia,2019,14,Roubo em Comércio
Brazlândia,2019,0,Roubo em Transporte Coletivo
Brazlândia,2020,70,Furto em Veículo
Brazlândia,2020,5,Homicídio
Brazlândia,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2020,1,Latrocínio
Brazlândia,2020,200,Roubo a Transeunte
Brazlândia,2020,39,Roubo de Veículo
Brazlândia,2020,5,Roubo em Comércio
Brazlândia,2020,1,Roubo em Transporte Coletivo
Brazlândia,2021,52,Furto em Veículo
Brazlândia,2021,9,Homicídio
Brazlândia,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2021,0,Latrocínio
Brazlândia,2021,136,Roubo a Transeunte
Brazlândia,2021,34,Roubo de Veículo
Brazlândia,2021,6,Roubo em Comércio
Brazlândia,2021,0,Roubo em Transporte Coletivo
Brazlândia,2022,78,Furto em Veículo
Brazlândia,2022,7,Homicídio
Brazlândia,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2022,1,Latrocínio
Brazlândia,2022,155,Roubo a Transeunte
Brazlândia,2022,26,Roubo de Veículo
Brazlândia,2022,6,Roubo em Comércio
Brazlândia,2022,0,Roubo em Transporte Coletivo
Brazlândia,2023,47,Furto em Veículo
Brazlândia,2023,5,Homicídio
Brazlândia,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2023,0,Latrocínio
Brazlândia,2023,113,Roubo a Transeunte
Brazlândia,2023,24,Roubo de Veículo
Brazlândia,2023,7,Roubo em Comércio
Brazlândia,2023,1,Roubo em Transporte Coletivo
Brazlândia,2024,45,Furto em Veículo
Brazlândia,2024,5,Homicídio
Brazlândia,2024,1,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2024,1,Latrocínio
Brazlândia,2024,61,Roubo a Transeunte
Brazlândia,2024,18,Roubo de Veículo
Brazlândia,2024,2,Roubo em Comércio
Brazlândia,2024,0,Roubo em Transporte Coletivo
Candangolândia,2015,33,Furto em Veículo
Candangolândia,2015,6,Homicídio
